Hour,Dayweek,Month,Year,Year-Month,Crash_Count
02,Sunday,9,2016,2016-9,1
02,Sunday,11,2017,2017-11,2
02,Sunday,11,2018,2018-11,2
02,Sunday,11,2020,2020-11,2
02,Sunday,12,2015,2015-12,1
02,Sunday,12,2016,2016-12,1
02,Sunday,12,2020,2020-12,1
02,Thursday,1,2019,2019-1,1
02,Thursday,2,2019,2019-2,1
02,Thursday,2,2021,2021-2,1
02,Thursday,3,2016,2016-3,1
02,Thursday,3,2017,2017-3,1
02,Thursday,4,2016,2016-4,1
02,Thursday,4,2017,2017-4,2
02,Thursday,4,2020,2020-4,1
02,Thursday,5,2017,2017-5,1
02,Thursday,5,2020,2020-5,1
02,Thursday,6,2016,2016-6,2
02,Thursday,6,2021,2021-6,1
02,Thursday,7,2016,2016-7,1
02,Thursday,7,2018,2018-7,1
02,Thursday,7,2019,2019-7,1
02,Thursday,8,2020,2020-8,1
02,Thursday,9,2019,2019-9,1
02,Thursday,10,2017,2017-10,1
02,Thursday,10,2019,2019-10,1
02,Thursday,10,2020,2020-10,1
02,Thursday,11,2016,2016-11,1
02,Thursday,11,2017,2017-11,1
02,Thursday,12,2018,2018-12,1
02,Tuesday,1,2019,2019-1,1
02,Tuesday,1,2020,2020-1,2
02,Tuesday,2,2020,2020-2,1
02,Tuesday,3,2017,2017-3,1
02,Tuesday,3,2020,2020-3,1
02,Tuesday,5,2016,2016-5,1
02,Tuesday,5,2020,2020-5,1
02,Tuesday,7,2016,2016-7,1
02,Tuesday,7,2019,2019-7,1
02,Tuesday,7,2021,2021-7,1
02,Tuesday,8,2016,2016-8,1
02,Tuesday,8,2019,2019-8,1
02,Tuesday,9,2016,2016-9,1
02,Tuesday,10,2015,2015-10,1
02,Tuesday,12,2019,2019-12,1
02,Wednesday,1,2015,2015-1,1
02,Wednesday,1,2020,2020-1,2
02,Wednesday,3,2015,2015-3,1
02,Wednesday,3,2016,2016-3,1
02,Wednesday,3,2021,2021-3,1
02,Wednesday,5,2015,2015-5,1
02,Wednesday,7,2015,2015-7,1
02,Wednesday,7,2016,2016-7,1
02,Wednesday,9,2016,2016-9,1
02,Wednesday,12,2020,2020-12,1
03,Friday,1,2015,2015-1,1
03,Friday,1,2017,2017-1,1
03,Friday,1,2019,2019-1,1
03,Friday,2,2018,2018-2,1
03,Friday,2,2019,2019-2,1
03,Friday,3,2017,2017-3,1
03,Friday,3,2018,2018-3,1
03,Friday,3,2019,2019-3,1
03,Friday,5,2015,2015-5,1
03,Friday,5,2017,2017-5,1
03,Friday,7,2017,2017-7,1
03,Friday,8,2016,2016-8,1
03,Friday,8,2019,2019-8,1
03,Friday,8,2021,2021-8,1
03,Friday,10,2017,2017-10,1
03,Friday,10,2019,2019-10,1
03,Monday,1,2015,2015-1,1
03,Monday,1,2017,2017-1,1
03,Monday,1,2018,2018-1,1
03,Monday,1,2021,2021-1,1
03,Monday,3,2017,2017-3,1
03,Monday,3,2019,2019-3,1
03,Monday,6,2015,2015-6,1
03,Monday,7,2021,2021-7,2
03,Monday,8,2017,2017-8,1
03,Monday,9,2015,2015-9,1
03,Monday,9,2016,2016-9,1
03,Monday,9,2020,2020-9,1
03,Monday,11,2015,2015-11,2
03,Monday,11,2019,2019-11,3
03,Saturday,1,2015,2015-1,1
03,Saturday,1,2019,2019-1,1
03,Saturday,1,2021,2021-1,1
03,Saturday,2,2016,2016-2,1
03,Saturday,2,2017,2017-2,1
03,Saturday,2,2018,2018-2,1
03,Saturday,2,2019,2019-2,1
03,Saturday,2,2020,2020-2,1
03,Saturday,3,2015,2015-3,2
03,Saturday,3,2016,2016-3,1
03,Saturday,3,2017,2017-3,1
03,Saturday,4,2015,2015-4,1
03,Saturday,4,2018,2018-4,1
03,Saturday,5,2015,2015-5,1
03,Saturday,5,2017,2017-5,2
03,Saturday,6,2015,2015-6,1
03,Saturday,6,2017,2017-6,1
03,Saturday,6,2018,2018-6,1
03,Saturday,7,2015,2015-7,1
03,Saturday,7,2020,2020-7,1
03,Saturday,8,2018,2018-8,1
03,Saturday,8,2020,2020-8,1
03,Saturday,9,2018,2018-9,1
03,Saturday,9,2020,2020-9,1
03,Saturday,10,2017,2017-10,2
03,Saturday,10,2019,2019-10,1
03,Saturday,11,2015,2015-11,2
03,Saturday,12,2018,2018-12,2
03,Sunday,1,2015,2015-1,1
03,Sunday,1,2016,2016-1,1
03,Sunday,1,2019,2019-1,1
03,Sunday,1,2021,2021-1,1
03,Sunday,2,2017,2017-2,1
03,Sunday,2,2018,2018-2,1
03,Sunday,2,2019,2019-2,1
03,Sunday,3,2018,2018-3,3
03,Sunday,3,2019,2019-3,1
03,Sunday,3,2020,2020-3,1
03,Sunday,5,2015,2015-5,3
03,Sunday,6,2016,2016-6,1
03,Sunday,6,2019,2019-6,1
03,Sunday,7,2015,2015-7,1
03,Sunday,7,2017,2017-7,1
03,Sunday,7,2018,2018-7,1
03,Sunday,7,2019,2019-7,1
03,Sunday,7,2021,2021-7,1
03,Sunday,8,2015,2015-8,1
03,Sunday,8,2016,2016-8,1
03,Sunday,8,2017,2017-8,1
03,Sunday,9,2018,2018-9,1
03,Sunday,10,2016,2016-10,1
03,Sunday,10,2019,2019-10,1
03,Sunday,11,2016,2016-11,2
03,Sunday,12,2016,2016-12,2
03,Sunday,12,2017,2017-12,1
03,Sunday,12,2019,2019-12,1
03,Thursday,1,2018,2018-1,1
03,Thursday,1,2019,2019-1,1
03,Thursday,6,2019,2019-6,1
03,Thursday,6,2020,2020-6,1
03,Thursday,7,2021,2021-7,1
03,Thursday,8,2019,2019-8,1
03,Thursday,11,2019,2019-11,1
03,Thursday,12,2020,2020-12,1
03,Tuesday,1,2017,2017-1,1
03,Tuesday,1,2019,2019-1,1
03,Tuesday,2,2018,2018-2,1
03,Tuesday,3,2016,2016-3,1
03,Tuesday,3,2020,2020-3,1
03,Tuesday,5,2020,2020-5,1
03,Tuesday,6,2020,2020-6,1
03,Tuesday,11,2015,2015-11,1
03,Tuesday,11,2017,2017-11,1
03,Tuesday,11,2019,2019-11,1
03,Tuesday,12,2016,2016-12,1
03,Wednesday,1,2017,2017-1,1
03,Wednesday,2,2015,2015-2,1
03,Wednesday,2,2016,2016-2,1
03,Wednesday,3,2021,2021-3,1
03,Wednesday,4,2017,2017-4,1
03,Wednesday,4,2018,2018-4,1
03,Wednesday,4,2019,2019-4,1
03,Wednesday,7,2015,2015-7,1
03,Wednesday,7,2019,2019-7,1
03,Wednesday,10,2016,2016-10,1
03,Wednesday,10,2020,2020-10,1
03,Wednesday,11,2016,2016-11,1
03,Wednesday,11,2018,2018-11,1
03,Wednesday,11,2020,2020-11,1
03,Wednesday,12,2017,2017-12,1
04,Friday,1,2021,2021-1,1
04,Friday,2,2016,2016-2,1
04,Friday,3,2015,2015-3,1
04,Friday,3,2021,2021-3,1
04,Friday,5,2021,2021-5,1
04,Friday,6,2016,2016-6,1
04,Friday,7,2021,2021-7,1
04,Friday,8,2016,2016-8,1
04,Friday,8,2017,2017-8,1
04,Friday,10,2015,2015-10,1
04,Friday,10,2017,2017-10,1
04,Friday,11,2017,2017-11,2
04,Friday,12,2015,2015-12,1
04,Friday,12,2016,2016-12,1
04,Friday,12,2018,2018-12,1
04,Friday,12,2019,2019-12,1
04,Monday,4,2020,2020-4,1
04,Monday,5,2016,2016-5,1
04,Monday,7,2016,2016-7,2
04,Monday,8,2018,2018-8,1
04,Monday,8,2021,2021-8,1
04,Monday,9,2018,2018-9,2
04,Monday,11,2019,2019-11,1
04,Monday,12,2015,2015-12,1
04,Monday,12,2016,2016-12,1
04,Saturday,1,2016,2016-1,1
04,Saturday,2,2017,2017-2,1
04,Saturday,3,2015,2015-3,2
04,Saturday,3,2016,2016-3,1
04,Saturday,3,2017,2017-3,2
04,Saturday,3,2018,2018-3,1
04,Saturday,3,2019,2019-3,1
04,Saturday,3,2020,2020-3,4
04,Saturday,3,2021,2021-3,1
04,Saturday,4,2019,2019-4,1
04,Saturday,4,2021,2021-4,1
04,Saturday,5,2015,2015-5,1
04,Saturday,5,2019,2019-5,1
04,Saturday,5,2021,2021-5,1
04,Saturday,6,2015,2015-6,2
04,Saturday,7,2016,2016-7,1
04,Saturday,7,2017,2017-7,2
04,Saturday,7,2018,2018-7,1
04,Saturday,7,2019,2019-7,1
04,Saturday,8,2017,2017-8,1
04,Saturday,8,2021,2021-8,1
04,Saturday,9,2016,2016-9,1
04,Saturday,9,2018,2018-9,1
04,Saturday,9,2019,2019-9,1
04,Saturday,10,2016,2016-10,1
04,Saturday,10,2017,2017-10,2
04,Saturday,10,2018,2018-10,1
04,Saturday,11,2019,2019-11,1
04,Saturday,12,2015,2015-12,1
04,Saturday,12,2018,2018-12,1
04,Sunday,1,2017,2017-1,1
04,Sunday,1,2020,2020-1,1
04,Sunday,1,2021,2021-1,1
04,Sunday,2,2018,2018-2,1
04,Sunday,3,2015,2015-3,1
04,Sunday,3,2021,2021-3,1
04,Sunday,4,2016,2016-4,2
04,Sunday,4,2017,2017-4,1
04,Sunday,4,2018,2018-4,1
04,Sunday,4,2019,2019-4,1
04,Sunday,5,2015,2015-5,1
04,Sunday,5,2020,2020-5,1
04,Sunday,6,2016,2016-6,1
04,Sunday,6,2018,2018-6,1
04,Sunday,6,2020,2020-6,1
04,Sunday,6,2021,2021-6,2
04,Sunday,7,2017,2017-7,1
04,Sunday,7,2018,2018-7,1
04,Sunday,7,2019,2019-7,1
04,Sunday,7,2021,2021-7,1
04,Sunday,8,2016,2016-8,1
04,Sunday,8,2019,2019-8,1
04,Sunday,9,2017,2017-9,3
04,Sunday,10,2019,2019-10,1
04,Sunday,11,2020,2020-11,1
04,Sunday,12,2018,2018-12,2
04,Thursday,2,2015,2015-2,1
04,Thursday,5,2015,2015-5,1
04,Thursday,5,2017,2017-5,1
04,Thursday,6,2018,2018-6,2
04,Thursday,7,2015,2015-7,2
04,Thursday,7,2017,2017-7,1
04,Thursday,8,2018,2018-8,1
04,Thursday,10,2017,2017-10,1
04,Thursday,12,2015,2015-12,1
04,Thursday,12,2019,2019-12,1
04,Tuesday,1,2019,2019-1,1
04,Tuesday,1,2020,2020-1,1
04,Tuesday,2,2020,2020-2,1
04,Tuesday,2,2021,2021-2,1
04,Tuesday,3,2017,2017-3,1
04,Tuesday,3,2020,2020-3,1
04,Tuesday,6,2020,2020-6,1
04,Tuesday,7,2018,2018-7,1
04,Tuesday,7,2019,2019-7,1
04,Tuesday,7,2021,2021-7,1
04,Tuesday,8,2018,2018-8,1
04,Tuesday,8,2020,2020-8,1
04,Tuesday,9,2015,2015-9,1
04,Tuesday,9,2018,2018-9,1
04,Tuesday,11,2018,2018-11,2
04,Tuesday,12,2017,2017-12,2
04,Tuesday,12,2019,2019-12,1
04,Tuesday,12,2020,2020-12,1
04,Wednesday,1,2016,2016-1,2
04,Wednesday,1,2018,2018-1,1
04,Wednesday,1,2021,2021-1,1
04,Wednesday,5,2019,2019-5,1
04,Wednesday,5,2020,2020-5,1
04,Wednesday,6,2019,2019-6,1
04,Wednesday,7,2017,2017-7,2
04,Wednesday,7,2020,2020-7,1
04,Wednesday,8,2015,2015-8,1
04,Wednesday,9,2019,2019-9,1
04,Wednesday,12,2015,2015-12,1
05,Friday,1,2015,2015-1,1
05,Friday,1,2018,2018-1,1
05,Friday,2,2017,2017-2,1
05,Friday,2,2018,2018-2,2
05,Friday,3,2016,2016-3,1
05,Friday,3,2017,2017-3,1
05,Friday,3,2019,2019-3,1
05,Friday,4,2019,2019-4,1
05,Friday,4,2020,2020-4,2
05,Friday,4,2021,2021-4,1
05,Friday,5,2015,2015-5,1
05,Friday,5,2016,2016-5,1
05,Friday,6,2018,2018-6,1
05,Friday,6,2021,2021-6,2
05,Friday,7,2016,2016-7,2
05,Friday,7,2018,2018-7,1
05,Friday,8,2016,2016-8,1
05,Friday,8,2017,2017-8,1
05,Friday,9,2016,2016-9,2
05,Friday,9,2018,2018-9,1
05,Friday,10,2015,2015-10,1
05,Friday,10,2020,2020-10,1
05,Friday,11,2016,2016-11,1
05,Friday,11,2018,2018-11,1
05,Friday,11,2019,2019-11,1
05,Friday,12,2017,2017-12,2
05,Monday,1,2015,2015-1,1
05,Monday,1,2018,2018-1,1
05,Monday,1,2020,2020-1,1
05,Monday,2,2015,2015-2,2
05,Monday,2,2016,2016-2,1
05,Monday,3,2015,2015-3,3
05,Monday,3,2018,2018-3,1
